[SPEAKER] [SYSTEM] [i] [WER] S:[numSubstitutions], I:[numInsertions], D:[numDeletions]
S-21A Google 7 61.111111111111114 S:8, I:0, D:14
S-21A Google 8 44.73684210526316 S:7, I:0, D:10
S-21A Google 9 72.5 S:13, I:0, D:16
S-21A Google 10 48.29545454545455 S:40, I:0, D:45
S-21A Google 11 62.1301775147929 S:44, I:0, D:61
S-21A Kaldi 0 43.15352697095436 S:55, I:2, D:47
S-21A Kaldi 1 37.7431906614786 S:44, I:7, D:46
S-21A Kaldi 2 33.51648351648352 S:33, I:8, D:20
S-21A Kaldi 3 35.86698337292162 S:70, I:10, D:71
S-21A Kaldi 4 42.71047227926078 S:89, I:22, D:97
S-21A Kaldi 5 37.15415019762846 S:43, I:3, D:48
S-21A Kaldi 6 44.11764705882353 S:16, I:1, D:28
S-21A Kaldi 7 33.333333333333336 S:6, I:0, D:6
S-21A Kaldi 8 28.94736842105263 S:5, I:3, D:3
S-21A Kaldi 9 50.0 S:7, I:1, D:12
S-21A Kaldi 10 27.84090909090909 S:21, I:2, D:26
S-21A Kaldi 11 44.97041420118343 S:31, I:0, D:45
S-27C Google 0 37.79527559055118 S:67, I:0, D:77
S-27C Google 1 28.571428571428573 S:31, I:2, D:55
S-27C Google 2 35.588235294117645 S:38, I:2, D:81
S-27C Google 3 34.61538461538461 S:49, I:11, D:93
S-27C Google 4 34.803149606299215 S:89, I:3, D:129
S-27C Google 5 31.890179514255543 S:120, I:11, D:171
S-27C Google 6 34.96503496503497 S:17, I:0, D:33
S-27C Google 7 23.404255319148938 S:5, I:0, D:6
S-27C Google 8 46.15384615384615 S:22, I:0, D:20
S-27C Google 9 35.57692307692308 S:8, I:4, D:25
S-27C Google 10 41.46341463414634 S:7, I:0, D:10
S-27C Google 11 41.30434782608695 S:14, I:1, D:23
S-27C Kaldi 0 21.25984251968504 S:40, I:13, D:28
S-27C Kaldi 1 15.25974025974026 S:23, I:8, D:16
S-27C Kaldi 2 14.117647058823529 S:33, I:5, D:10
S-27C Kaldi 3 18.552036199095024 S:36, I:20, D:26
S-27C Kaldi 4 15.590551181102363 S:52, I:9, D:38
S-27C Kaldi 5 20.591341077085534 S:109, I:19, D:67
S-27C Kaldi 6 17.482517482517483 S:14, I:2, D:9
S-27C Kaldi 7 8.51063829787234 S:2, I:1, D:1
S-27C Kaldi 8 28.571428571428573 S:17, I:4, D:5
S-27C Kaldi 9 19.23076923076923 S:11, I:2, D:7
S-27C Kaldi 10 31.70731707317073 S:7, I:1, D:5
S-27C Kaldi 11 20.652173913043477 S:9, I:0, D:10
S-10B Google 0 39.285714285714285 S:29, I:2, D:35
S-10B Google 1 30.37037037037037 S:47, I:6, D:29
S-10B Google 2 27.272727272727273 S:47, I:5, D:35
S-10B Google 3 27.73972602739726 S:44, I:3, D:34
S-10B Google 4 28.6697247706422 S:72, I:5, D:48
S-10B Google 5 24.429223744292237 S:56, I:11, D:40
S-10B Google 6 29.81366459627329 S:27, I:0, D:21
S-10B Google 7 25.213675213675213 S:43, I:2, D:14
S-10B Google 8 28.571428571428573 S:47, I:2, D:23
S-10B Kaldi 0 20.833333333333332 S:14, I:3, D:18
